
1,"Bitcoin","$807,720,367,477","$42,641.00","18,932,043","$15,624,070,437","-1.03 %",2022-01-17 12:13:24
2,"Ethereum","$388,262,278,667","$3,255.42","119,196,526","$10,528,687,208","-1.99 %",2022-01-17 12:13:24
3,"Binance Coin","$80,917,383,604","$481.05","168,137,036","$1,277,689,434","-2.76 %",2022-01-17 12:13:24
4,"Tether","$78,325,979,954","$1.00","78,399,569,301","$40,306,328,101","-0.26 %",2022-01-17 12:13:24
5,"Cardano","$48,746,157,711","$1.52","32,066,390,668","$3,313,805,564","8.72 %",2022-01-17 12:13:24
6,"USD Coin","$45,356,502,028","$1.00","45,409,739,338","$2,251,909,188","-0.24 %",2022-01-17 12:13:24
7,"Solana","$44,679,540,510","$142.14","314,152,797","$1,239,836,349","-4.33 %",2022-01-17 12:13:24
8,"XRP","$36,507,810,719","$0.77","47,663,117,635","$1,930,927,728","-1.74 %",2022-01-17 12:13:24
9,"Terra","$29,047,927,344","$81.00","358,195,732","$1,303,903,903","-6.21 %",2022-01-17 12:13:24
10,"Polkadot","$28,508,450,944","$26.51","1,074,540,756","$1,118,892,113","-5.12 %",2022-01-17 12:13:24
11,"Dogecoin","$22,414,417,596","$0.17","132,670,764,300","$982,847,906","-5.92 %",2022-01-17 12:13:24
12,"Avalanche","$21,604,172,464","$88.36","244,354,628","$500,957,713","-5.56 %",2022-01-17 12:13:24
13,"Polygon","$16,054,443,150","$2.33","6,872,890,164","$1,186,699,074","0.65 %",2022-01-17 12:13:24
14,"Shiba Inu","$16,013,866,751","$0.00","549,148,961,436,000","$550,689,630","-4.67 %",2022-01-17 12:13:24
15,"Binance USD","$14,417,050,700","$1.00","14,447,199,786","$2,891,984,521","-0.32 %",2022-01-17 12:13:24
16,"Cosmos","$11,829,988,221","$41.30","286,244,451","$1,268,906,033","-4.19 %",2022-01-17 12:13:24
17,"Near","$11,812,703,182","$19.19","615,269,806","$607,978,682","-4.49 %",2022-01-17 12:13:24
18,"Chainlink","$11,523,116,755","$24.62","467,009,550","$814,730,524","-5.01 %",2022-01-17 12:13:24
19,"Crypto.com Coin","$11,501,971,994","$0.46","25,263,013,692","$109,346,071","-2.60 %",2022-01-17 12:13:24
20,"Wrapped Bitcoin","$11,385,029,057","$42,657.00","266,781","$252,067,085","-1.01 %",2022-01-17 12:13:24
21,"TerraUSD","$10,723,218,823","$1.00","10,722,730,202","$202,720,043","-0.23 %",2022-01-17 12:13:24
22,"Litecoin","$10,520,108,734","$151.50","69,433,671","$923,232,377","4.39 %",2022-01-17 12:13:24
23,"Dai","$9,299,585,234","$1.00","9,302,249,810","$523,975,586","-0.16 %",2022-01-17 12:13:24
24,"Algorand","$9,023,140,213","$1.39","6,465,240,997","$263,169,476","0.20 %",2022-01-17 12:13:24
25,"Fantom","$8,105,632,480","$3.18","2,541,152,731","$1,526,878,222","-3.25 %",2022-01-17 12:13:24
26,"Uniswap","$7,626,871,555","$16.84","452,335,734","$323,423,540","-1.09 %",2022-01-17 12:13:24
27,"TRON","$7,278,457,036","$0.07","101,827,472,065","$898,852,506","1.96 %",2022-01-17 12:13:24
28,"Bitcoin Cash","$7,228,840,545","$381.14","18,957,744","$1,476,766,511","-1.29 %",2022-01-17 12:13:24
29,"OKB","$7,198,293,058","$27.39","262,680,011","$248,049,540","5.47 %",2022-01-17 12:13:24
30,"FTX Token","$6,324,360,643","$45.62","138,569,138","$174,528,643","-0.96 %",2022-01-17 12:13:24
31,"Stellar","$6,303,050,097","$0.25","24,791,716,484","$240,701,733","-2.34 %",2022-01-17 12:13:24
32,"Internet Computer","$5,914,382,708","$29.76","198,528,203","$226,639,215","-5.87 %",2022-01-17 12:13:24
33,"Axie Infinity","$5,601,038,409","$80.07","69,888,603","$651,579,023","0.34 %",2022-01-17 12:13:24
35,"Hedera","$5,098,033,423","$0.27","18,631,599,789","$58,037,276","-2.15 %",2022-01-17 12:13:24
36,"VeChain","$5,081,542,228","$0.08","66,760,741,299","$176,715,505","-2.94 %",2022-01-17 12:13:24
38,"cETH","$4,359,546,691","$65.23","66,836,360","$5,229,508","-2.10 %",2022-01-17 12:13:24
40,"Filecoin","$4,336,094,090","$29.32","147,799,573","$358,984,880","-2.27 %",2022-01-17 12:13:24
41,"Ethereum Classic","$4,128,196,441","$31.17","132,342,988","$237,942,586","-3.59 %",2022-01-17 12:13:24
42,"Monero","$4,052,325,373","$224.14","18,064,302","$166,454,310","3.48 %",2022-01-17 12:13:24
43,"Theta Network","$4,014,357,958","$4.01","1,000,000,000","$145,430,970","-3.19 %",2022-01-17 12:13:24
44,"Decentraland","$3,978,030,321","$2.99","1,327,372,146","$645,157,567","1.12 %",2022-01-17 12:13:24
45,"Harmony","$3,897,158,144","$0.34","11,590,110,773","$304,884,071","-5.19 %",2022-01-17 12:13:24
46,"Elrond","$3,879,134,351","$189.96","20,392,899","$121,860,085","-4.18 %",2022-01-17 12:13:24
47,"Tezos","$3,621,670,546","$4.14","873,560,902","$110,832,867","-4.06 %",2022-01-17 12:13:24
